DAS,D10SP,D20SP,D30SP,D60SP,year,doy,Date,
1249,0.318246595,0.314150155,0.347283515,0.3860016,2015,352,18-Dec-2015,
1266,0.336129466,0.328372158,0.363221911,0.403980349,2016,4,04-Jan-2016,
1268,0.31627093,0.312010919,0.349600307,0.391120123,2016,6,06-Jan-2016,
1270,0.298973161,0.298093426,0.335487763,0.37935206,2016,8,08-Jan-2016,
1275,0.348363266,0.339830161,0.381817359,0.430220594,2016,13,13-Jan-2016,
1280,0.327101763,0.31973152,0.358287403,0.397035914,2016,18,18-Jan-2016,
1282,0.303227232,0.308783505,0.343969265,0.38145372,2016,20,20-Jan-2016,
1284,0.283084922,0.289456035,0.329964812,0.37876558,2016,22,22-Jan-2016,
1290,0.287711706,0.276570817,0.306245602,0.355282104,2016,28,28-Jan-2016,
1291,0.315978625,0.299909806,0.320592086,0.35009321,2016,29,29-Jan-2016,
1294,0.283944745,0.27249706,0.301480563,0.352136451,2016,32,01-Feb-2016,
1296,0.262261309,0.257435725,0.286462678,0.339836375,2016,34,03-Feb-2016,
1298,0.233526143,0.241228146,0.273086207,0.328460744,2016,36,05-Feb-2016,
1303,0.321641202,0.314764996,0.346199291,0.387270531,2016,41,10-Feb-2016,
1305,0.301172359,0.298102075,0.328639422,0.372319624,2016,43,12-Feb-2016,
1312,0.326830573,0.320480092,0.35479552,0.398276467,2016,50,19-Feb-2016,
1315,0.333511248,0.319840767,0.357276167,0.403163035,2016,53,22-Feb-2016,
1317,0.325166968,0.316006011,0.350256409,0.387684795,2016,55,24-Feb-2016,
1322,0.354211794,0.33587118,0.371409689,0.40282145,2016,60,29-Feb-2016,
1324,0.33932447,0.329243597,0.366131025,0.408644234,2016,62,02-Mar-2016,
1326,0.327277872,0.316888431,0.352403894,0.390654684,2016,64,04-Mar-2016,
1330,0.323542408,0.322299322,0.353321728,0.390493437,2016,68,08-Mar-2016,
1331,0.318340628,0.318541422,0.356338422,0.393007293,2016,69,09-Mar-2016,
